service_id,date,exception_type
L5 01LP101_005001,20260715,1
L5 01SP101_005001,20260711,1
L5 02FP102_005002,20260712,1
L5 02LP101_005002,20260709,1
L5 02LP101_005002,20260710,1
L5 02LP101_005002,20260713,1
L5 02LP101_005002,20260714,1
L5 02LP101_005002,20260715,1
L5 02SP101_005002,20260711,1
L5 03FC103_005003,20260712,1
L5 03LP101_005003,20260709,1
L5 03LP101_005003,20260710,1
L5 03LP101_005003,20260713,1
L5 03LP101_005003,20260714,1
L5 03LP101_005003,20260715,1
L5 03SC104_005003,20260711,1
L5 04FP102_005004,20260712,1
L5 04LP201_005004,20260709,1
L5 04LP201_005004,20260710,1
L5 04LP201_005004,20260713,1
